,column_label,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal
,7,mixed,0.011356702,0.011356702,0.011356702,0.011388651,0.011388651,0.011388651,0.011425639,0.011425639,0.011425639,0.011465825,0.011465825,0.011465825,,,7,mixed,67.92509724,67.92509727,135.8501945,117.7232648,190.8214395,307.100194,160.6245956,211.4178661,332.6014245,275.159382,429.1957569,669.7938649,,,,,,,
,7,g2g2,0.369321574,0.369321574,0.369321574,0.369218505,0.369218505,0.369218505,0.369319196,0.369319196,0.369319196,0.369192041,0.369192041,0.369192041,,,7,g2g2,67.60824174,135.2164835,202.8247252,161.0580733,322.1161465,483.1742198,161.6592957,322.0849671,483.4932554,341.7424829,681.9608776,1023.463908,,,,,,,
,8,g1g1,0.622123324,0.622123324,0.622123324,0.622043752,0.622043752,0.622043752,0.62217169,0.62217169,0.62217169,0.621893928,0.621893928,0.621893928,,,8,g1g1,67.70682344,67.70682344,67.70682344,67.94721723,67.96761387,68.34491508,161.7056262,161.7525115,162.3575644,207.4756995,207.7175095,209.1560052,,,,,,,
,8,mixed,0.005753501,0.005753501,0.005753501,0.005751848,0.005751848,0.005751848,0.005722732,0.005722732,0.005722732,0.005733768,0.005733768,0.005733768,,,8,mixed,67.49302896,67.49302897,134.9860579,119.9929935,194.7053037,312.2365124,161.5566078,216.8072583,339.6723962,274.1821147,429.798634,675.5094128,,,,,,,
,8,g2g2,0.372123174,0.372123174,0.372123174,0.3722044,0.3722044,0.3722044,0.372105579,0.372105579,0.372105579,0.372372303,0.372372303,0.372372303,,,8,g2g2,67.60483699,135.2096739,202.8145109,161.2275718,322.4551437,483.6827155,161.6291856,322.6451581,484.116955,341.6911817,682.5828027,1024.178958,,,,,,,
,9,g1g1,0.623572425,0.623572425,0.623572425,0.623510497,0.623510497,0.623510497,0.623392892,0.623392892,0.623392892,0.623526043,0.623526043,0.623526043,,,9,g1g1,67.70147776,67.70147776,67.70147776,67.81508067,67.82601491,68.01007833,161.7477506,161.776305,162.058226,207.1259194,207.2419745,207.9745433,,,,,,,
,9,mixed,0.002855301,0.002855301,0.002855301,0.002863723,0.002863723,0.002863723,0.002879857,0.002879857,0.002879857,0.002832238,0.002832238,0.002832238,,,9,mixed,66.74393029,66.74393028,133.4878605,121.9230172,197.576795,315.6756352,162.5162375,211.4026929,326.5823408,274.5669023,422.3025852,661.9740318,,,,,,,
,9,g2g2,0.373572275,0.373572275,0.373572275,0.37362578,0.37362578,0.37362578,0.373727252,0.373727252,0.373727252,0.373641718,0.373641718,0.373641718,,,9,g2g2,67.66870858,135.3374172,203.0061258,161.6594026,323.3188052,484.9782078,161.7734883,323.279787,485.0111628,341.8584884,683.3187137,1025.102178,,,,,,,
,10,g1g1,0.624286025,0.624286025,0.624286025,0.624242548,0.624242548,0.624242548,0.6241474,0.6241474,0.6241474,0.623798629,0.623798629,0.623798629,,,10,g1g1,67.6744135,67.6744135,67.6744135,67.72213387,67.72623811,67.82881562,161.691648,161.7003867,161.8392554,207.1155801,207.1645524,207.5080122,,,,,,,
,10,mixed,0.0014281,0.0014281,0.0014281,0.001427287,0.001427287,0.001427287,0.001457,0.001457,0.001457,0.001466386,0.001466386,0.001466386,,,10,mixed,68.81947646,68.81947646,137.6389529,121.5759761,195.6477209,315.2689115,163.1044207,219.6403351,340.8902348,277.9961501,447.6851962,700.79966,,,,,,,
,10,g2g2,0.374285875,0.374285875,0.374285875,0.374330164,0.374330164,0.374330164,0.3743956,0.3743956,0.3743956,0.374734985,0.374734985,0.374734985,,,10,g2g2,67.73892338,135.4778467,203.2167701,161.5736257,323.1472514,484.7208771,161.6479723,323.150451,484.7753465,341.7743866,683.3520235,1025.117694,,,,,,,
,,,,,0.374285875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
column_label,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,
1,g1g1,67.6,0.39,g1g1,67.6,0.39,g1g1,67.6,0.39,g1g1,104,0.39,g1g1,121.4,0.39,g1g1,216.8,0.39,g1g1,161.3,0.39,g1g1,172.9,0.39,g1g1,264.7,0.39,g1g1,257.7,0.39,g1g1,318.3,0.39,g1g1,514.4,0.39,
1,mixed,67.7,0.47,mixed,67.7,0.47,mixed,135.4,0.47,mixed,104,0.47,mixed,160.0,0.47,mixed,262.2,0.47,mixed,161.2,0.47,mixed,192.6,0.47,mixed,306.6,0.47,mixed,256.9,0.47,mixed,340.6,0.47,mixed,549.1,0.47,
1,g2g2,67.7,0.14,g2g2,135.3,0.14,g2g2,203.0,0.14,g2g2,104,0.14,g2g2,208.2,0.14,g2g2,312.2,0.14,g2g2,160.9,0.14,g2g2,218.7,0.14,g2g2,350.2,0.14,g2g2,258.2,0.14,g2g2,365.0,0.14,g2g2,586.8,0.14,
